project	bug_ID	priority	type(person1)	type(person2)	type(final decision)	bug_URL	created_time	patch_URL
Lucene.Net	LUCENENET#356	critical(high)	T2	T2	T2	https://github.com/apache/lucenenet/issues/356	2020/9/27	https://github.com/apache/lucenenet/pull/357/files
Lucene.Net	LUCENENET#621	major(normal)	T2	T2	T2	https://github.com/apache/lucenenet/issues/621	2022/2/21	https://github.com/apache/lucenenet/pull/622/files
Lucene.Net	LUCENENET#559	major(normal)	T1.1.1	T1.1.1	T1.1.1	https://github.com/apache/lucenenet/issues/559	2021/11/23	https://github.com/apache/lucenenet/pull/563/files
Lucene.Net	LUCENENET#549	major(normal)	T2	T2	T2	https://github.com/apache/lucenenet/issues/549	2021/11/20	https://github.com/apache/lucenenet/pull/566/files
Lucene.Net	LUCENENET#546	major(normal)	T2	T2	T2	https://github.com/apache/lucenenet/issues/546	2021/11/19	https://github.com/apache/lucenenet/pull/557/files
Lucene.Net	LUCENENET#418	major(normal)	T1.1.1	T1.1.1	T1.1.1	https://github.com/apache/lucenenet/issues/418	2021/2/11	https://github.com/apache/lucenenet/pull/434/files
Lucene.Net	LUCENENET-641	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-641	2020/1/29	https://github.com/apache/lucenenet/pull/237/files
Lucene.Net	LUCENENET-640	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-640	2020/1/13	https://github.com/apache/lucenenet/commit/7fd3de71d60a50059b6a8276bccb8d35fd6a1c83
Lucene.Net	LUCENENET-624	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-624	2019/10/10	https://github.com/apache/lucenenet/pull/299/files
Lucene.Net	LUCENENET-622	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-622	2019/9/3	https://github.com/apache/lucenenet/commit/b3daddc739f9329d0aa6e8dbfe04744f93106837
Lucene.Net	LUCENENET-621	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-621	2019/9/3	https://github.com/apache/lucenenet/commit/e715ea1b1d7fc4ee64190b25e8fdf97aeb3c0d63
Lucene.Net	LUCENENET-617	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-617	2019/8/15	https://github.com/apache/lucenenet/commit/de715223d989d4a5ad9bbd066c64dd4093e20d72
Lucene.Net	LUCENENET-607	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-607	2019/3/4	https://github.com/apache/lucenenet/pull/224/files
Lucene.Net	LUCENENET-598	major	T1.1.1	T1.1.1	T1.1.1	https://issues.apache.org/jira/browse/LUCENENET-598	2018/1/2	https://github.com/apache/lucenenet/commit/3b86123ce31d305b635e41c499e4ad53d4d25438
Lucene.Net	LUCENENET-593	major	T2	T2	T2	https://issues.apache.org/jira/browse/LUCENENET-593	2017/8/10	https://github.com/apache/lucenenet/commit/c14c27e7696cf88d628dae83b5190d8c87e9fac8
Lucene.Net	LUCENENET-592	major	T1.2.2	T1.2.2	T1.2.2	https://issues.apache.org/jira/browse/LUCENENET-592	2017/8/8	https://github.com/apache/lucenenet/commit/9084a2018ae62594820a47261ccf1bd07e580dc4
Hibernate	HHH-15032	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-15032	2022/1/17	https://github.com/hibernate/hibernate-orm/pull/4655/files
Hibernate	HHH-14413	blocker	T1.2.1	T1.2.1	T1.2.1	https://hibernate.atlassian.net/browse/HHH-14413	2021/1/19	https://github.com/hibernate/hibernate-orm/pull/3699/files
Hibernate	HHH-14077	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-14077	2020/6/18	https://github.com/hibernate/hibernate-orm/pull/3440/files
Hibernate	HHH-13945	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13945	2020/4/14	https://github.com/hibernate/hibernate-orm/pull/3647/files
Hibernate	HHH-13770	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13770	2019/12/10	https://github.com/hibernate/hibernate-orm/pull/3171/files
Hibernate	HHH-13710	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13710	2019/11/6	https://github.com/hibernate/hibernate-orm/pull/3096/files
Hibernate	HHH-13653	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13653	2019/10/3	https://github.com/hibernate/hibernate-orm/commit/3c1f4356dd3a6e6d88ee4a9442119f262b6dfb97
Hibernate	HHH-13651	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13651	2019/10/3	https://github.com/hibernate/hibernate-orm/pull/3079/files
Hibernate	HHH-13644	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-13644	2019/9/27	https://github.com/hibernate/hibernate-orm/commit/8ce140475496d7b58df9c9fd82f1aafc288f73f4
Hibernate	HHH-12784	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12784	2018/7/10	https://github.com/hibernate/hibernate-orm/commit/d32997a32da780907bc30efb1e23b0f1b87174e4
Hibernate	HHH-12776	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12776	2018/7/8	https://github.com/hibernate/hibernate-orm/pull/2397/files
Hibernate	HHH-12649	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12649	2018/5/30	https://github.com/hibernate/hibernate-orm/pull/2391/files
Hibernate	HHH-12607	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12607	2018/5/21	https://github.com/hibernate/hibernate-orm/pull/2329/files
Hibernate	HHH-12266	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-12266	2018/1/31	https://github.com/hibernate/hibernate-orm/pull/2141/files
Hibernate	HHH-11826	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-11826	2017/6/20	https://github.com/hibernate/hibernate-orm/commit/4477baf53bb8592800115e0ce1d1c4cd48434338
Hibernate	HHH-11655	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-11655	2017/4/21	https://github.com/hibernate/hibernate-orm/commit/0ddc7d32ad9c2af1a00e9e4b1f35b423d2bc65aa
Hibernate	HHH-11587	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-11587	2017/3/22	https://github.com/hibernate/hibernate-orm/pull/1879/files
Hibernate	HHH-11560	blocker	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-11560	2017/3/8	https://github.com/hibernate/hibernate-orm/commit/6674cddf3d68928344017e040526351aa3ebed76
Hibernate	HHH-15267	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-15267	2022/5/12	https://github.com/hibernate/hibernate-orm/pull/5050/files
Hibernate	HHH-15164	critical	T2	T2	T2	https://hibernate.atlassian.net/browse/HHH-15164	2022/4/3	https://github.com/hibernate/hibernate-orm/pull/4935/files
